开始IP,结束IP,IP归属地
58.195.128.0,58.195.135.255,陕西省西安市 西安交通大学第二附属医院
58.206.96.0,58.206.127.255,陕西省西安市 西安交通大学无线校园项目
59.74.43.0,59.74.43.255,陕西省西安市 西安交通大学城市学院
61.185.217.48,61.185.217.57,陕西省西安市 西安交通大学
61.185.217.58,61.185.217.58,陕西省西安市 西安交大第一医院
61.185.217.59,61.185.217.61,陕西省西安市 西安交通大学
61.185.217.62,61.185.217.62,陕西省西安市 交大创业园
61.185.217.63,61.185.217.63,陕西省西安市 西安交通大学
115.154.53.0,115.154.63.255,陕西省西安市 西安交通大学
115.154.64.0,115.154.67.255,陕西省西安市 西安交通大学东1/4舍
115.154.68.0,115.154.79.255,陕西省西安市 西安交通大学
115.154.80.0,115.154.81.255,陕西省西安市 西安交通大学东6舍
115.154.82.0,115.154.83.255,陕西省西安市 西安交通大学
115.154.84.0,115.154.85.255,陕西省西安市 西安交通大学东8舍
117.32.129.249,117.32.129.249,陕西省西安市 西安交通大学城市学院
117.32.153.140,117.32.153.140,陕西省西安市 西安交通大学图书馆
124.114.96.218,124.114.96.218,陕西省西安市 西安交通大学
124.114.98.214,124.114.98.214,陕西省西安市 交大经发学校(中小学在凤城十路)
124.115.222.166,124.115.222.170,陕西省西安市 西安交通大学
202.117.0.0,202.117.0.255,西安交通大学 家属区拨号用户
202.117.1.0,202.117.3.3,西安交通大学 网络中心机房
202.117.3.4,202.117.3.8,西安交通大学 教学一楼
202.117.3.9,202.117.3.22,西安交通大学 老图书馆
202.117.3.23,202.117.3.23,西安交通大学 老医院二楼
202.117.3.24,202.117.3.39,西安交通大学 实验室
202.117.3.40,202.117.3.42,西安交通大学 教学一楼
202.117.3.43,202.117.3.43,西安交通大学
202.117.3.44,202.117.3.45,西安交通大学 老医院
202.117.3.46,202.117.4.255,西安交通大学
202.117.5.0,202.117.6.255,西安交通大学 网络中心
202.117.7.0,202.117.7.255,西安交通大学 网络中心二楼
202.117.8.0,202.117.9.255,西安交通大学
202.117.10.0,202.117.10.0,西安交通大学 东校区西一楼
202.117.10.1,202.117.11.10,西安交通大学
202.117.11.11,202.117.11.86,西安交通大学 网络中心一楼机房
202.117.11.87,202.117.11.89,西安交通大学
202.117.11.90,202.117.11.100,西安交通大学 网络中心
202.117.11.101,202.117.11.163,西安交通大学 网络中心一楼机房
202.117.11.164,202.117.11.200,西安交通大学
202.117.11.201,202.117.11.255,西安交通大学 网络中心北二楼机房
202.117.12.0,202.117.12.49,西安交通大学 科学馆会议厅
202.117.12.50,202.117.12.50,西安交通大学 康桥苑
202.117.12.51,202.117.12.240,西安交通大学 科学馆会议厅
202.117.12.241,202.117.12.241,西安交通大学 口腔医学院
202.117.12.242,202.117.12.255,西安交通大学 科学馆会议厅
202.117.13.0,202.117.13.255,西安交通大学 教学一楼
202.117.14.0,202.117.14.181,西安交通大学 科学馆
202.117.14.182,202.117.14.182,西安交通大学 开元房地产公司
202.117.14.183,202.117.14.255,西安交通大学 科学馆
202.117.15.0,202.117.15.9,西安交通大学 西一楼
202.117.15.10,202.117.15.40,西安交通大学 西一楼C段5层
202.117.15.41,202.117.15.131,西安交通大学 西一楼
202.117.15.132,202.117.15.182,西安交通大学 西一楼C段5层
202.117.15.183,202.117.15.190,西安交通大学 西一楼
202.117.15.191,202.117.15.195,西安交通大学 西一楼B段4层
202.117.15.196,202.117.15.255,西安交通大学 西一楼
202.117.16.0,202.117.16.255,西安交通大学 老图书馆
202.117.17.0,202.117.17.255,西安交通大学 教学二楼
202.117.18.0,202.117.18.255,西安交通大学 工程馆
202.117.19.0,202.117.19.255,西安交通大学 能源馆
202.117.20.0,202.117.20.255,西安交通大学 东一楼
202.117.21.0,202.117.21.6,西安交通大学 软件学院
202.117.21.7,202.117.21.57,西安交通大学
202.117.21.58,202.117.21.71,西安交通大学 软件学院
202.117.21.72,202.117.21.119,西安交通大学 软件学院机房
202.117.21.120,202.117.21.255,西安交通大学 软件学院
202.117.22.0,202.117.22.58,西安交通大学 中一楼
202.117.22.59,202.117.22.65,西安交通大学 职继学院成教部
202.117.22.66,202.117.22.150,西安交通大学 中一楼
202.117.22.151,202.117.22.151,西安交通大学 百瑞公司
202.117.22.152,202.117.23.10,西安交通大学 中一楼
202.117.23.11,202.117.23.20,西安交通大学 中二楼
202.117.23.21,202.117.23.29,西安交通大学 通信科
202.117.23.30,202.117.23.121,西安交通大学 中二楼
202.117.23.122,202.117.23.122,西安交通大学 北门收发室
202.117.23.123,202.117.23.255,西安交通大学 中二楼
202.117.24.0,202.117.24.255,西安交通大学 图书馆
202.117.25.0,202.117.25.255,西安交通大学 东一楼
202.117.26.0,202.117.26.255,西安交通大学 西二楼
202.117.27.0,202.117.27.255,西安交通大学 东二楼
202.117.28.0,202.117.28.255,西安交通大学 东三楼
202.117.29.0,202.117.29.36,西安交通大学 西二楼
202.117.29.37,202.117.29.37,西安交通大学 快速制造国家工程研究中心
202.117.29.38,202.117.29.255,西安交通大学 西二楼
202.117.30.0,202.117.30.255,西安交通大学 绝缘楼
202.117.31.0,202.117.31.10,西安交通大学
202.117.31.11,202.117.31.22,西安交通大学 材料楼
202.117.31.23,202.117.31.27,西安交通大学 强度楼
202.117.31.28,202.117.31.35,西安交通大学 材料楼
202.117.31.36,202.117.31.213,西安交通大学
202.117.31.214,202.117.31.214,西安交通大学 材料学院先进陶瓷所强度楼教育网
202.117.31.215,202.117.32.10,西安交通大学
202.117.32.11,202.117.32.255,西安交通大学 化工楼/东二楼
202.117.33.0,202.117.33.28,西安交通大学 西16/17舍
202.117.33.29,202.117.33.29,西安交通大学 水合物研究中心
202.117.33.30,202.117.33.77,西安交通大学 西16/17舍
202.117.33.78,202.117.33.183,西安交通大学 核科学与技术学院
202.117.33.184,202.117.33.202,西安交通大学 环境与化工学院
202.117.33.203,202.117.33.255,西安交通大学 西16/17舍
202.117.34.0,202.117.34.3,西安交通大学
202.117.34.4,202.117.34.136,西安交通大学 行政楼
202.117.34.137,202.117.34.255,西安交通大学
202.117.35.0,202.117.35.255,西安交通大学 计教中心/软件楼
202.117.36.0,202.117.37.10,西安交通大学
202.117.37.11,202.117.37.26,西安交通大学 多相流
202.117.37.27,202.117.37.36,西安交通大学 保卫处
202.117.37.37,202.117.37.37,西安交通大学 气动实验室
202.117.37.38,202.117.37.45,西安交通大学 老医院
202.117.37.46,202.117.37.69,西安交通大学 多相流
202.117.37.70,202.117.37.79,西安交通大学 保卫处
202.117.37.80,202.117.37.167,西安交通大学 高压教研室
202.117.37.168,202.117.37.168,西安交通大学 保卫处
202.117.37.169,202.117.37.228,西安交通大学 高压教研室
202.117.37.229,202.117.37.229,西安交通大学 保卫处户政室
202.117.37.230,202.117.37.255,西安交通大学 高压教研室
202.117.38.0,202.117.38.255,西安交通大学 东二楼平房
202.117.39.0,202.117.39.22,西安交通大学 模具所
202.117.39.23,202.117.39.24,西安交通大学 思源智能电器有限公司
202.117.39.25,202.117.39.30,西安交通大学 模具所
202.117.39.31,202.117.39.38,西安交通大学 计算机厂
202.117.39.39,202.117.39.255,西安交通大学 模具所
202.117.40.0,202.117.40.128,西安交通大学 校办企业
202.117.40.129,202.117.40.225,西安交通大学 口腔医学院
202.117.40.226,202.117.40.255,西安交通大学 校办企业
202.117.41.0,202.117.41.255,西安交通大学 校医院
202.117.42.0,202.117.42.255,西安交通大学 学生处/团委
202.117.43.0,202.117.43.249,西安交通大学 产业楼
202.117.43.250,202.117.43.250,西安交通大学 电脑城7号楼
202.117.43.251,202.117.43.255,西安交通大学 产业楼
202.117.44.0,202.117.45.255,西安交通大学 西九/十舍/文管大楼
202.117.46.0,202.117.46.0,西安交通大学 西十六舍
202.117.46.1,202.117.46.1,西安交通大学 文管大楼
202.117.46.2,202.117.46.69,西安交通大学 西十六舍
202.117.46.70,202.117.46.80,西安交通大学 管理学院研究生机房
202.117.46.81,202.117.46.225,西安交通大学 西十六舍
202.117.46.226,202.117.46.226,西安交通大学 主楼E座
202.117.46.227,202.117.46.255,西安交通大学 西十六舍
202.117.47.0,202.117.47.99,西安交通大学 西十七舍
202.117.47.100,202.117.47.100,西安交通大学 公共政策与管理学院
202.117.47.101,202.117.47.255,西安交通大学 西十七舍
202.117.48.0,202.117.48.65,西安交通大学 西一楼
202.117.48.66,202.117.48.69,西安交通大学 西一楼C段5层
202.117.48.70,202.117.48.194,西安交通大学 西一楼
202.117.48.195,202.117.48.198,西安交通大学 西一楼B段3层
202.117.48.199,202.117.48.199,西安交通大学 西一楼B段329
202.117.48.200,202.117.48.200,西安交通大学 西一楼B段3层
202.117.48.201,202.117.49.145,西安交通大学 西一楼
202.117.49.146,202.117.49.149,西安交通大学 西一楼A段2层201
202.117.49.150,202.117.49.154,西安交通大学 西一楼A段3层
202.117.49.155,202.117.49.169,西安交通大学 西一楼A段2层201
202.117.49.170,202.117.49.200,西安交通大学 西一楼
202.117.49.201,202.117.49.201,西安交通大学 西一楼201
202.117.49.202,202.117.49.235,西安交通大学 西一楼
202.117.49.236,202.117.49.239,西安交通大学 西一楼C段5层
202.117.49.240,202.117.49.255,西安交通大学 西一楼
202.117.50.0,202.117.50.255,西安交通大学 计教中心学生创新机房
202.117.51.0,202.117.51.255,西安交通大学 东12/13舍
202.117.52.0,202.117.52.255,西安交通大学
202.117.53.0,202.117.53.57,西安交通大学 东九舍
202.117.53.58,202.117.53.58,西安交通大学 职继学院机房
202.117.53.59,202.117.53.244,西安交通大学 东九舍
202.117.53.245,202.117.53.255,西安交通大学 东六舍
202.117.54.0,202.117.54.0,西安交通大学 东区图书馆二楼的树华电子阅览室
202.117.54.1,202.117.54.1,西安交通大学东区图书馆二楼的树华电子阅览室 1号机
202.117.54.2,202.117.54.2,西安交通大学东区图书馆二楼的树华电子阅览室 2号机
202.117.54.3,202.117.54.3,西安交通大学东区图书馆二楼的树华电子阅览室 3号机
202.117.54.4,202.117.54.4,西安交通大学东区图书馆二楼的树华电子阅览室 4号机
202.117.54.5,202.117.54.5,西安交通大学东区图书馆二楼的树华电子阅览室 5号机
202.117.54.6,202.117.54.6,西安交通大学东区图书馆二楼的树华电子阅览室 6号机
202.117.54.7,202.117.54.7,西安交通大学东区图书馆二楼的树华电子阅览室 7号机
202.117.54.8,202.117.54.8,西安交通大学东区图书馆二楼的树华电子阅览室 8号机
202.117.54.9,202.117.54.9,西安交通大学东区图书馆二楼的树华电子阅览室 9号机
202.117.54.10,202.117.54.10,西安交通大学东区图书馆二楼的树华电子阅览室 10号机
202.117.54.11,202.117.54.11,西安交通大学东区图书馆二楼的树华电子阅览室 11号机
202.117.54.12,202.117.54.12,西安交通大学东区图书馆二楼的树华电子阅览室 12号机
202.117.54.13,202.117.54.13,西安交通大学东区图书馆二楼的树华电子阅览室 13号机
202.117.54.14,202.117.54.14,西安交通大学东区图书馆二楼的树华电子阅览室 14号机
202.117.54.15,202.117.54.15,西安交通大学东区图书馆二楼的树华电子阅览室 15号机
202.117.54.16,202.117.54.16,西安交通大学东区图书馆二楼的树华电子阅览室 16号机
202.117.54.17,202.117.54.17,西安交通大学东区图书馆二楼的树华电子阅览室 17号机
202.117.54.18,202.117.54.18,西安交通大学东区图书馆二楼的树华电子阅览室 18号机
202.117.54.19,202.117.54.19,西安交通大学东区图书馆二楼的树华电子阅览室 19号机
202.117.54.20,202.117.54.20,西安交通大学东区图书馆二楼的树华电子阅览室 20号机
202.117.54.21,202.117.54.21,西安交通大学东区图书馆二楼的树华电子阅览室 21号机
202.117.54.22,202.117.54.22,西安交通大学东区图书馆二楼的树华电子阅览室 22号机
202.117.54.23,202.117.54.23,西安交通大学东区图书馆二楼的树华电子阅览室 23号机
202.117.54.24,202.117.54.24,西安交通大学东区图书馆二楼的树华电子阅览室 24号机
202.117.54.25,202.117.54.25,西安交通大学东区图书馆二楼的树华电子阅览室 25号机
202.117.54.26,202.117.54.26,西安交通大学东区图书馆二楼的树华电子阅览室 26号机
202.117.54.27,202.117.54.27,西安交通大学东区图书馆二楼的树华电子阅览室 27号机
202.117.54.28,202.117.54.28,西安交通大学东区图书馆二楼的树华电子阅览室 28号机
202.117.54.29,202.117.54.29,西安交通大学东区图书馆二楼的树华电子阅览室 29号机
202.117.54.30,202.117.54.30,西安交通大学东区图书馆二楼的树华电子阅览室 30号机
202.117.54.31,202.117.54.31,西安交通大学东区图书馆二楼的树华电子阅览室 31号机
202.117.54.32,202.117.54.32,西安交通大学东区图书馆二楼的树华电子阅览室 32号机
202.117.54.33,202.117.54.33,西安交通大学东区图书馆二楼的树华电子阅览室 33号机
202.117.54.34,202.117.54.34,西安交通大学东区图书馆二楼的树华电子阅览室 34号机
202.117.54.35,202.117.54.35,西安交通大学东区图书馆二楼的树华电子阅览室 35号机
202.117.54.36,202.117.54.36,西安交通大学东区图书馆二楼的树华电子阅览室 36号机
202.117.54.37,202.117.54.37,西安交通大学东区图书馆二楼的树华电子阅览室 37号机
202.117.54.38,202.117.54.38,西安交通大学东区图书馆二楼的树华电子阅览室 38号机
202.117.54.39,202.117.54.39,西安交通大学东区图书馆二楼的树华电子阅览室 39号机
202.117.54.40,202.117.54.40,西安交通大学东区图书馆二楼的树华电子阅览室 40号机
202.117.54.41,202.117.54.41,西安交通大学东区图书馆二楼的树华电子阅览室 41号机
202.117.54.42,202.117.54.42,西安交通大学东区图书馆二楼的树华电子阅览室 42号机
202.117.54.43,202.117.54.43,西安交通大学东区图书馆二楼的树华电子阅览室 43号机
202.117.54.44,202.117.54.44,西安交通大学东区图书馆二楼的树华电子阅览室 44号机
202.117.54.45,202.117.54.45,西安交通大学东区图书馆二楼的树华电子阅览室 45号机
202.117.54.46,202.117.54.46,西安交通大学东区图书馆二楼的树华电子阅览室 46号机
202.117.54.47,202.117.54.47,西安交通大学东区图书馆二楼的树华电子阅览室 47号机
202.117.54.48,202.117.54.48,西安交通大学东区图书馆二楼的树华电子阅览室 48号机
202.117.54.49,202.117.54.49,西安交通大学东区图书馆二楼的树华电子阅览室 49号机
202.117.54.50,202.117.54.50,西安交通大学东区图书馆二楼的树华电子阅览室 50号机
202.117.54.51,202.117.54.51,西安交通大学东区图书馆二楼的树华电子阅览室 51号机
202.117.54.52,202.117.54.52,西安交通大学东区图书馆二楼的树华电子阅览室 52号机
202.117.54.53,202.117.54.53,西安交通大学东区图书馆二楼的树华电子阅览室 53号机
202.117.54.54,202.117.54.54,西安交通大学东区图书馆二楼的树华电子阅览室 54号机
202.117.54.55,202.117.54.55,西安交通大学东区图书馆二楼的树华电子阅览室 55号机
202.117.54.56,202.117.54.56,西安交通大学东区图书馆二楼的树华电子阅览室 56号机
202.117.54.57,202.117.54.57,西安交通大学东区图书馆二楼的树华电子阅览室 57号机
202.117.54.58,202.117.54.58,西安交通大学东区图书馆二楼的树华电子阅览室 58号机
202.117.54.59,202.117.54.59,西安交通大学东区图书馆二楼的树华电子阅览室 59号机
202.117.54.60,202.117.54.60,西安交通大学东区图书馆二楼的树华电子阅览室 60号机
202.117.54.61,202.117.54.61,西安交通大学东区图书馆二楼的树华电子阅览室 61号机
202.117.54.62,202.117.54.62,西安交通大学东区图书馆二楼的树华电子阅览室 62号机
202.117.54.63,202.117.54.63,西安交通大学东区图书馆二楼的树华电子阅览室 63号机
202.117.54.64,202.117.54.64,西安交通大学东区图书馆二楼的树华电子阅览室 64号机
202.117.54.65,202.117.54.65,西安交通大学东区图书馆二楼的树华电子阅览室 65号机
202.117.54.66,202.117.54.66,西安交通大学东区图书馆二楼的树华电子阅览室 66号机
202.117.54.67,202.117.54.67,西安交通大学东区图书馆二楼的树华电子阅览室 67号机
202.117.54.68,202.117.54.68,西安交通大学东区图书馆二楼的树华电子阅览室 68号机
202.117.54.69,202.117.54.69,西安交通大学东区图书馆二楼的树华电子阅览室 69号机
202.117.54.70,202.117.54.70,西安交通大学东区图书馆二楼的树华电子阅览室 70号机
202.117.54.71,202.117.54.71,西安交通大学东区图书馆二楼的树华电子阅览室 71号机
202.117.54.72,202.117.54.72,西安交通大学东区图书馆二楼的树华电子阅览室 72号机
202.117.54.73,202.117.54.73,西安交通大学东区图书馆二楼的树华电子阅览室 73号机
202.117.54.74,202.117.54.74,西安交通大学东区图书馆二楼的树华电子阅览室 74号机
202.117.54.75,202.117.54.75,西安交通大学东区图书馆二楼的树华电子阅览室 75号机
202.117.54.76,202.117.54.76,西安交通大学东区图书馆二楼的树华电子阅览室 76号机
202.117.54.77,202.117.54.77,西安交通大学东区图书馆二楼的树华电子阅览室 77号机
202.117.54.78,202.117.54.78,西安交通大学东区图书馆二楼的树华电子阅览室 78号机
202.117.54.79,202.117.54.79,西安交通大学东区图书馆二楼的树华电子阅览室 79号机
202.117.54.80,202.117.54.80,西安交通大学东区图书馆二楼的树华电子阅览室 80号机
202.117.54.81,202.117.54.81,西安交通大学东区图书馆二楼的树华电子阅览室 81号机
202.117.54.82,202.117.54.82,西安交通大学东区图书馆二楼的树华电子阅览室 82号机
202.117.54.83,202.117.54.83,西安交通大学东区图书馆二楼的树华电子阅览室 83号机
202.117.54.84,202.117.54.84,西安交通大学东区图书馆二楼的树华电子阅览室 84号机
202.117.54.85,202.117.54.85,西安交通大学东区图书馆二楼的树华电子阅览室 85号机
202.117.54.86,202.117.54.86,西安交通大学东区图书馆二楼的树华电子阅览室 86号机
202.117.54.87,202.117.54.87,西安交通大学东区图书馆二楼的树华电子阅览室 87号机
202.117.54.88,202.117.54.88,西安交通大学东区图书馆二楼的树华电子阅览室 88号机
202.117.54.89,202.117.54.89,西安交通大学东区图书馆二楼的树华电子阅览室 89号机
202.117.54.90,202.117.54.90,西安交通大学东区图书馆二楼的树华电子阅览室 90号机
202.117.54.91,202.117.54.91,西安交通大学东区图书馆二楼的树华电子阅览室 91号机
202.117.54.92,202.117.54.92,西安交通大学东区图书馆二楼的树华电子阅览室 92号机
202.117.54.93,202.117.54.93,西安交通大学东区图书馆二楼的树华电子阅览室 93号机
202.117.54.94,202.117.54.94,西安交通大学东区图书馆二楼的树华电子阅览室 94号机
202.117.54.95,202.117.54.95,西安交通大学东区图书馆二楼的树华电子阅览室 95号机
202.117.54.96,202.117.54.96,西安交通大学东区图书馆二楼的树华电子阅览室 96号机
202.117.54.97,202.117.54.97,西安交通大学东区图书馆二楼的树华电子阅览室 97号机
