开始IP,结束IP,IP归属地
61.150.17.157,61.150.17.157,陕西省西安市 红树林网吧交大商场店
61.185.204.91,61.185.204.91,陕西省西安市 雁翔路交大科技园B区37号保赛大厦
61.185.204.94,61.185.204.94,陕西省西安市 雁翔路交大科技园B区37号保赛大厦西安新世纪投资有限公司
61.185.210.38,61.185.210.38,陕西省西安市 交大东南门外红树林网吧旗舰店
61.185.215.227,61.185.215.227,陕西省西安市 交大东南门外星空网吧1楼
61.185.215.228,61.185.215.228,陕西省西安市 交大东南门外星空网吧2楼
61.185.217.154,61.185.217.154,陕西省西安市 交大东门外金狐网吧
61.185.218.74,61.185.218.74,陕西省西安市 交大市场红树林网吧
61.185.219.154,61.185.219.154,陕西省西安市 交大东门外金狐网吧
117.32.129.134,117.32.129.134,陕西省西安市 红树林网吧旗舰店(交大东南门外)
124.114.99.98,124.114.99.98,陕西省西安市 辉煌网吧(交大十字)
124.114.179.178,124.114.179.178,陕西省西安市 交大如果网城
124.115.171.30,124.115.171.30,陕西省西安市 交大商场E时代网吧
124.115.179.158,124.115.179.158,陕西省西安市 交大商场嘉华网吧
210.83.6.199,210.83.6.199,陕西省西安市 交大东南门外畅想网吧
210.83.11.18,210.83.11.18,陕西省西安市 交大东门外精锐网吧
210.83.15.82,210.83.15.82,陕西省西安市 交大商场网通家园网吧
211.92.205.237,211.92.205.237,陕西省西安市 交大东南门外何记网吧
219.144.130.34,219.144.130.34,陕西省西安市 交大商场街网通家园网吧
219.144.162.146,219.144.162.146,陕西省西安市 交大东南门外公安招待所旁边畅想网吧
219.144.185.194,219.144.185.194,西安交通大学 东南门外新畅想网吧
219.144.196.138,219.144.196.138,陕西省西安市 交大瑞森大厦
219.144.206.46,219.144.206.46,陕西省西安市 交大E时代互联网俱乐部一分店
219.144.206.118,219.144.206.118,陕西省西安市 交大南门乐达网吧
219.145.45.221,219.145.45.221,陕西省西安市 交大东南门欣风网络工作室
219.145.62.198,219.145.62.198,陕西省西安市 交大东南门外凯特网吧
219.145.92.90,219.145.92.90,交通大学东南门外世纪闪电网吧
222.90.68.238,222.90.68.238,陕西省西安市 交大东南门外红树林网吧旗舰店
222.90.72.214,222.90.72.214,西安交通大学 财经校区对面风正网吧
222.90.143.152,222.90.143.155,陕西省西安市 新雪妹尔网吧(交大新村)
222.90.231.90,222.90.231.90,交通大学东南门外红树林网吧
222.90.234.50,222.90.234.50,陕西省西安市 E时代互联网俱乐部交大店(交大商场街)
222.90.234.102,222.90.234.102,交通大学东南门外红树林旗舰店
222.91.72.154,222.91.72.154,陕西省西安市 理工大南门对面交大商场嘉华网吧
222.91.99.35,222.91.99.35,陕西省西安市 星空网吧(西安交大东南门外)
222.91.99.36,222.91.99.36,陕西省西安市 星空网吧一楼(西安交大东南门外)
222.91.99.37,222.91.99.37,陕西省西安市 星空网吧二楼(西安交大东南门外)
